element,second_name,total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded
232,Lukaku,0,0,0,0,0,0
233,Rashford,134,14,5,1876,4,23
234,Greenwood,53,5,0,644,1,9
235,de Gea,103,0,0,2610,8,30
236,Romero,0,0,0,0,0,0
237,Grant,0,0,0,0,0,0
238,Pogba,17,0,2,521,1,5
239,Martial,122,11,3,1875,9,21
240,Sánchez,0,0,0,0,0,0
241,Lingard,25,0,0,882,1,14
242,Mata,36,0,2,727,4,8
243,James,89,3,6,2166,7,27
244,Rodrigues de Paula Santos,46,0,0,2026,6,24
245,Gomes,2,0,0,19,0,1
246,Pereira,58,1,3,1442,6,16
247,Matic,33,0,1,958,6,8
248,McTominay,64,3,2,1545,2,18
249,Chong,3,0,0,34,0,0
250,Garner,1,0,0,8,0,1
481,Tuanzebe,7,0,0,187,0,3
549,Williams,39,1,1,758,4,9
618,Borges Fernandes,38,2,3,447,4,1
624,Ighalo,4,0,0,31,0,0
251,Ritchie,30,0,0,712,5,8
252,Schär,53,2,1,1394,4,28
253,Yedlin,23,1,0,772,1,11
254,Fernández,85,2,2,1807,6,25
255,Dummett,44,0,0,1227,5,20
256,Manquillo,42,0,1,961,5,12
257,Lejeune,24,2,0,440,1,10
258,Lascelles,64,1,0,1630,7,25
259,Clark,49,2,0,1186,4,14
260,Muto,8,0,0,201,0,6
261,Mato Sanmartín,0,0,0,0,0,0
262,Dubravka,118,0,0,2610,9,41
263,Darlow,0,0,0,0,0,0
264,Woodman,0,0,0,0,0,0
266,Almirón,79,2,1,2370,10,37
267,Atsu,36,0,3,732,3,14
268,Ki,4,0,0,135,0,6
269,Shelvey,69,5,0,1339,6,18
270,Longstaff,37,0,2,1297,2,24
271,Hayden,61,1,3,1965,7,32
332,Rose,31,0,0,1242,3,19
466,Apolinário de Lira,61,1,2,2221,6,36
482,Colback,0,0,0,0,0,0
483,Murphy,0,0,0,0,0,0
498,Willems,64,2,2,1492,3,24
499,Aarons,0,0,0,0,0,0
500,Saint-Maximin,55,2,2,1265,5,13
519,Krafth,21,0,0,561,2,12
520,Carroll,25,0,3,507,2,7
540,Longstaff,25,2,0,544,1,9
554,Gayle,16,0,1,377,2,6
573,Elliot,0,0,0,0,0,0
598,Allan,0,0,0,0,0,0
599,Watts,0,0,0,0,0,0
610,Gibson,0,0,0,0,0,0
612,Bentaleb,5,0,0,270,1,5
614,Lazaro,3,0,0,217,0,3
272,Klose,0,0,0,0,0,0
273,Godfrey,32,0,0,1834,3,39
274,Aarons,58,0,2,2430,5,48
275,Zimmermann,35,0,1,1295,3,21
276,Lewis,41,1,0,1495,3,33
277,Hanley,23,0,0,1261,2,25
278,Pukki,127,11,3,2481,6,47
279,Srbeny,13,1,0,41,0,2
280,Krul,91,0,0,2430,5,45
281,McGovern,11,0,0,158,0,6
282,Vrancic,20,1,0,377,0,8
283,Buendía,80,0,7,2013,3,41
284,Hernández,33,1,1,756,1,15
285,Stiepermann,26,0,0,928,1,24
286,McLean,62,1,1,2288,5,45
287,Cantwell,100,6,2,2067,6,41
288,Leitner,16,0,0,683,1,16
289,Tettey,55,1,1,1782,5,30
290,Trybull,25,0,0,1022,2,21
434,Drmic,18,1,0,215,0,3
435,Roberts,3,0,0,24,0,2
449,Fahrmann,1,0,0,21,0,1
454,Byram,32,0,0,1292,3,23
484,Heise,0,0,0,0,0,0
507,Amadou,18,0,0,756,1,20
538,Idah,4,0,0,68,0,3
551,Mair,0,0,0,0,0,0
552,Famewo,0,0,0,0,0,0
601,Duda,19,0,1,577,3,7
602,Rupp,10,0,0,336,1,6
70,Mousset,71,5,4,1009,3,11
291,Stevens,110,2,2,2445,10,25
292,Freeman,0,0,0,0,0,0
293,O'Connell,96,0,1,2520,10,25
294,Baldock,115,2,4,2520,10,25
295,Egan,94,0,1,2418,10,22
296,Stearman,0,0,0,0,0,0
297,Lundstram,128,4,4,2065,9,20
298,Sharp,40,3,0,660,2,6
299,Eastwood,0,0,0,0,0,0
300,Duffy,0,0,0,0,0,0
301,Fleck,94,5,2,2188,8,21
302,Norwood,77,1,2,2373,10,25
303,McGoldrick,42,0,2,1349,5,13
423,Basham,90,0,0,2432,10,25
436,Moore,1,0,0,90,0,3
441,Freeman,11,0,0,322,1,4
444,Jagielka,4,0,0,128,0,3
453,Robinson,33,1,2,669,2,6
456,Morrison,1,0,0,12,0,0
471,Henderson,122,0,1,2430,10,22
472,Osborn,7,0,0,126,0,0
501,McBurnie,58,4,0,1428,7,15
521,Verrips,0,0,0,0,0,0
522,Bešić,9,0,0,243,0,2
547,Clarke,1,0,0,13,0,0
591,Rodwell,0,0,0,0,0,0
611,Robinson,0,0,0,0,0,0
621,Berge,8,0,0,208,1,2
622,Zivkovic,0,0,0,0,0,0
625,Retsos,0,0,0,0,0,0
304,Vestergaard,39,1,0,1135,3,23
305,Bertrand,49,1,1,2022,4,45
306,Valery,11,0,1,644,0,19
307,Bednarek,62,1,0,2427,5,50
308,Stephens,64,1,3,1827,4,33
310,Yoshida,10,0,0,558,1,18
311,Ramsay,0,0,0,0,0,0
312,Austin,0,0,0,0,0,0
313,Ings,140,15,1,1993,3,36
314,Obafemi,28,2,0,479,2,10
315,Long,53,2,3,1131,3,19
316,Gallagher,0,0,0,0,0,0
317,Forster,0,0,0,0,0,0
318,McCarthy,68,0,0,1710,4,27
319,Gunn,29,0,0,900,2,25
320,Redmond,69,3,1,1955,4,43
321,Ward-Prowse,93,4,4,2610,6,52
322,Elyounoussi,0,0,0,0,0,0
323,Armstrong,58,3,1,1134,4,18
324,Lemina,0,0,0,0,0,0
325,Højbjerg,66,0,3,2447,6,48
326,Johnson,0,0,0,0,0,0
327,Slattery,0,0,0,0,0,0
328,Romeu Vidal,36,0,0,1308,3,32
337,Walker-Peters,6,0,0,313,0,6
437,Adams,39,0,3,718,3,12
438,Djenepo,40,2,2,920,2,14
485,Hoedt,0,0,0,0,0,0
508,Boufal,33,0,3,752,1,17
532,Danso,9,0,1,275,1,8
535,N'Lundulu,0,0,0,0,0,0
548,Lewis,0,0,0,0,0,0
584,Smallbone,5,0,0,156,1,3
329,Davies,10,0,0,630,0,13
330,Vertonghen,52,1,1,1543,3,23
331,Alderweireld,66,1,2,2417,4,36
333,Sánchez,39,0,1,1890,2,31
334,Trippier,0,0,0,0,0,0
335,Foyth,3,0,0,66,0,3
336,Aurier,85,1,6,1909,5,27
338,Kane,104,11,2,1778,2,29
339,Janssen,0,0,0,0,0,0
340,Lloris,51,0,0,998,2,14
341,Gazzaniga,58,0,0,1612,2,26
342,Son,122,9,9,1744,4,25
343,Eriksen,48,2,2,1090,1,18
344,Alli,114,8,6,1758,4,24
345,Rodrigues Moura da Silva,76,4,3,1675,3,23
346,Lamela,50,2,4,929,3,10
347,Winks,35,0,0,1589,3,27
348,Wanyama,1,0,0,24,0,2
349,Sissoko,49,2,1,1688,3,25
350,Dier,25,0,2,890,1,18
351,Amos,0,0,0,0,0,0
